City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
216,Taoudenni,ML,22.6783,-3.9836,83.05,10,87,16.62,overcast clouds
217,Mar Del Plata,AR,-38.0023,-57.5575,62.87,71,40,14.0,scattered clouds
218,Carnarvon,AU,-24.8667,113.6333,77.07,83,0,16.11,clear sky
219,Saint-Prosper,CA,46.2117,-70.4811,-27.11,74,75,3.74,broken clouds
220,Dunedin,NZ,-45.8742,170.5036,51.8,71,100,4.81,overcast clouds
221,Qui Nhon,VN,13.7667,109.2333,71.49,85,100,8.72,overcast clouds
222,Mahibadhoo,MV,3.7833,72.9667,80.28,62,40,9.44,scattered clouds
223,Waipawa,NZ,-41.4122,175.5153,56.03,74,17,7.49,few clouds
224,Cabo San Lucas,MX,22.8909,-109.9124,66.51,54,20,5.75,few clouds
225,Natalio,PY,-26.7167,-55.0833,85.98,61,92,4.32,overcast clouds
226,Hamilton,US,39.1834,-84.5333,20.53,68,75,8.05,broken clouds
227,Roald,NO,62.5833,6.1333,43.9,87,75,19.57,broken clouds
228,Rozivka,UA,46.9385,35.7724,23.22,85,100,5.59,overcast clouds
229,Pacifica,US,37.6138,-122.4869,54.57,82,0,11.01,mist
230,Guerrero Negro,MX,27.9769,-114.0611,58.8,56,90,2.84,overcast clouds
231,Souillac,MU,-20.5167,57.5167,83.35,65,40,11.5,scattered clouds
232,Zheleznodorozhnyy,RU,55.7503,38.0042,21.72,93,100,7.9,light snow
233,Yulara,AU,-25.2406,130.9889,87.64,42,100,12.66,overcast clouds
234,Constitucion,CL,-35.3333,-72.4167,66.61,70,66,3.98,broken clouds
235,Quatre Cocos,MU,-20.2078,57.7625,83.08,70,27,13.8,scattered clouds
236,Severobaykalsk,RU,55.65,109.3167,-9.04,91,29,5.37,scattered clouds
237,Kruisfontein,ZA,-34.0033,24.7314,74.88,66,50,14.58,scattered clouds
238,Wuwei,CN,37.9281,102.6414,23.31,54,100,0.92,overcast clouds
239,Havre-Saint-Pierre,CA,50.2334,-63.5986,-3.41,69,0,5.75,clear sky
240,Chivay,PE,-15.6383,-71.6011,51.87,67,100,2.33,overcast clouds
241,Hobyo,SO,5.3505,48.5268,78.69,62,92,20.02,overcast clouds
242,Butembo,CD,0.15,29.2833,73.0,46,100,2.08,overcast clouds
243,Sao Filipe,CV,14.8961,-24.4956,74.3,71,88,13.49,overcast clouds
244,Tabory,RU,58.5198,64.5495,17.71,89,100,9.95,overcast clouds
245,Norman Wells,CA,65.282,-126.8329,-0.36,78,75,6.91,broken clouds
246,Broome,US,42.2506,-75.833,9.91,83,0,8.01,clear sky
247,Dungarvan,IE,52.0881,-7.6253,55.11,97,61,5.99,broken clouds
248,Trinidad,BO,-14.8333,-64.9,84.18,79,75,8.05,broken clouds
249,Bodaybo,RU,57.8506,114.1933,-25.22,100,77,1.41,broken clouds
250,Port Hedland,AU,-20.3167,118.5667,84.25,74,27,19.57,scattered clouds
251,Sarankhola,BD,22.3082,89.7897,65.16,52,0,4.97,clear sky
252,Moree,AU,-29.4667,149.85,71.62,83,100,11.5,overcast clouds
253,Nizhniy Ufaley,RU,55.9153,59.9842,12.96,92,100,10.27,overcast clouds
254,Dmytrivka,UA,45.9717,28.9864,35.19,80,76,7.18,broken clouds
255,Juneau,US,58.3019,-134.4197,38.21,94,100,18.41,light intensity drizzle
256,Akureyri,IS,65.6835,-18.0878,35.53,64,75,14.97,broken clouds
257,Chandler,US,33.3062,-111.8412,48.6,54,0,0.0,clear sky
258,Saint Anthony,US,45.0205,-93.218,30.15,73,100,10.36,overcast clouds
