City_ID,City,Cloudiness,Wind Speed,Country,Date,Lat,Lng,Max Temp,Humidity
222,Kaka,37,5.32,TM,2022-01-26 01:07:12,37.3482,59.6143,38.35,44
223,Poum,13,9.6,NC,2022-01-26 01:07:13,-20.2333,164.0167,80.69,72
224,Te Anau,95,3.31,NZ,2022-01-26 01:07:13,-45.4167,167.7167,56.5,83
225,Simpang,100,3.94,ID,2022-01-26 01:07:13,-1.2667,104.0833,77.83,88
226,Snyder,0,10.36,US,2022-01-26 01:06:41,32.7179,-100.9176,52.52,37
227,Wanning,100,3.27,CN,2022-01-26 01:07:14,18.8003,110.3967,73.33,85
228,Grindavik,75,3.44,IS,2022-01-26 01:07:14,63.8424,-22.4338,30.67,100
229,Kruisfontein,100,7.81,ZA,2022-01-26 01:08:14,-34.0033,24.7314,67.89,93
230,Boyolangu,75,3.98,ID,2022-01-26 01:08:15,-8.1181,111.8935,80.24,80
231,Vila Franca Do Campo,97,8.61,PT,2022-01-26 01:08:15,37.7167,-25.4333,58.19,79
232,Sola,99,16.49,VU,2022-01-26 01:08:15,-13.8833,167.55,81.59,80
233,Fuglebjerg,100,13.02,DK,2022-01-26 01:08:15,55.306,11.5477,42.67,91
234,Cabatuan,100,12.01,PH,2022-01-26 01:08:16,10.8794,122.486,78.78,88
235,Lebedinyy,100,5.06,RU,2022-01-26 01:08:16,58.5167,125.5167,-12.51,98
236,Saint-Pierre,75,9.22,RE,2022-01-26 01:08:16,-21.3393,55.4781,74.88,69
237,Liku,100,1.61,ID,2022-01-26 01:08:17,-0.7275,119.8922,84.11,62
238,Kahului,20,12.66,US,2022-01-26 01:08:17,20.8947,-156.47,84.22,53
239,Abu Dhabi,0,2.3,AE,2022-01-26 01:05:49,24.4667,54.3667,67.96,83
240,Kedrovyy,100,3.29,RU,2022-01-26 01:07:02,56.1667,91.8167,5.41,97
241,Kogon,0,4.61,UZ,2022-01-26 01:08:17,39.7228,64.5517,26.64,100
